comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
D-Scour-Control,0.686367649816855,-11.4496712549742,12.8224065546079,0.999983079982163,t0_t2,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,1.5554331378255,-10.7792165336457,13.8900828092967,0.99912327105732,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin-Control,-1.59511804088838,-12.8480214825109,9.65778540073416,0.998457919646491,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,2.32606800795222,-9.8099708968388,14.4621069127432,0.993564211381039,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,-0.37383432054472,-12.7084839920159,11.9608153509265,0.999999243878487,t0_t2,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,0.869065488008646,-12.1733644112199,13.9114953872372,0.999961819123664,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,-2.28148569070524,-14.3060119194116,9.74304053800109,0.993860331782134,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,1.63970035813537,-11.2150588950349,14.4944596113057,0.999073228743271,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-1.06020197036158,-14.1026318695901,11.9822279288669,0.999897918497434,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,-3.15055117871388,-15.3754999820492,9.07439762462141,0.975402711966309,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,0.77063487012672,-12.2717950291018,13.8130647693552,0.999978970295906,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-1.92926745837022,-15.1567056039679,11.2981706872275,0.998231586283932,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,3.9211860488406,-8.10334017986573,15.9457122775469,0.933576981366551,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,1.22128372034366,-11.0036650829916,13.446232523679,0.999718463829512,t0_t2,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,-2.69990232849694,-15.7423322277255,10.3425275707316,0.990812217873396,t0_t2,anova,TukeyHSD,unrooted_PD
D-Scour-Control,1.8115785972896,-6.56281996797261,10.1859771625518,0.988772657327508,t0_t2,anova,TukeyHSD,BWPD
ColiGuard-Control,-2.8466872302439,-11.2210857955061,5.52771133501831,0.921632418608013,t0_t2,anova,TukeyHSD,BWPD
Neomycin-Control,5.65871739080525,-2.10627901171581,13.4237137933263,0.288144921720101,t0_t2,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-1.02377531143056,-9.39817387669277,7.35062325383165,0.99924654392752,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-3.26892695377371,-11.7803756498554,5.24252174230798,0.874810007166412,t0_t2,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,-4.6582658275335,-13.5286129227494,4.21208126768242,0.650432826786941,t0_t2,anova,TukeyHSD,BWPD
Neomycin-D-Scour,3.84713879351565,-4.45031113950021,12.1445887265315,0.759570262222768,t0_t2,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-2.83535390872017,-11.7057010039361,6.03499318649575,0.938796690062604,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,-5.08050555106331,-14.0803536145458,3.91934251241922,0.576107207715617,t0_t2,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,8.50540462104915,0.207954688033292,16.802854554065,0.0411136352641161,t0_t2,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,1.82291191881334,-7.04743517640258,10.6932590140293,0.99112323290955,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-0.422239723529813,-9.42208778701235,8.57760833995272,0.999993327828585,t0_t2,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,-6.68249270223581,-14.9799426352517,1.61495723078004,0.188874105880582,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,-8.92764434457896,-17.3633946352804,-0.491894053877505,0.0314607265687715,t0_t2,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-2.24515164234315,-11.2449997058257,6.75469642113939,0.978702159374915,t0_t2,anova,TukeyHSD,BWPD
D-Scour-Control,-0.367235363095404,-14.6198119937185,13.8853412675277,0.999999659291315,t2_t4,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,4.6839441219312,-9.56863250869186,18.9365207525543,0.930825527376725,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin-Control,4.66680650347143,-9.58577012715164,18.9193831340945,0.931837349307449,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,-5.45360997272078,-19.7061866033438,8.79896665790228,0.875424741249318,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,1.80788869721373,-12.6468622390446,16.2626396334721,0.999146741795542,t2_t4,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,5.05117948502661,-8.99631340852216,19.0986723785754,0.901473607599083,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,5.03404186656683,-9.01345102698194,19.0815347601156,0.90275260970283,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-5.08637460962538,-19.1338675031741,8.96111828392339,0.898815601936225,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,2.17512406030913,-12.0774525703139,16.4277006909322,0.997776185002554,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,-0.0171376184597762,-14.0646305120085,14.030355275089,1,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-10.137554094652,-24.1850469882008,3.90993879889678,0.297329195865008,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-2.87605542471748,-17.1286320553405,11.3765212059056,0.991735124018117,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-10.1204164761922,-24.167909369741,3.92707641735656,0.29916070442312,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-2.8589178062577,-17.1114944368808,11.3936588243654,0.99195986269213,t2_t4,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,7.26149866993451,-6.99107796068856,21.5140753005576,0.677441969237104,t2_t4,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-5.01447496397367,-14.7600966567844,4.73114672883703,0.668172500961236,t2_t4,anova,TukeyHSD,BWPD
ColiGuard-Control,-4.43620401998109,-14.1818257127918,5.30941767282962,0.771828346627741,t2_t4,anova,TukeyHSD,BWPD
Neomycin-Control,-7.94031358705049,-17.6859352798612,1.80530810576022,0.177853440245603,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-0.517807356478963,-10.2634290492897,9.22781433633175,0.999987430778178,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-1.58620848144036,-11.4700728478246,8.29765588494383,0.997174251348029,t2_t4,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,0.578270943992587,-9.02711866526773,10.1836605532529,0.999976617716524,t2_t4,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-2.92583862307682,-12.5312282323371,6.67955098618349,0.949266880563204,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,4.49666760749471,-5.1087220017656,14.102057216755,0.750376612792658,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,3.42826648253331,-6.3173552102774,13.173888175344,0.909482133409261,t2_t4,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-3.50410956706941,-13.1094991763297,6.10128004219091,0.895879614813116,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,3.91839666350212,-5.68699294575819,13.5237862727624,0.842856995742586,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,2.84999553854073,-6.89562615426998,12.5956172313514,0.957209394582046,t2_t4,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,7.42250623057153,-2.18288337868878,17.0278958398318,0.226737833875149,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,6.35410510561013,-3.39151658720058,16.0997267984208,0.411581121934108,t2_t4,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-1.0684011249614,-10.8140228177721,8.67722056784931,0.99955066009581,t2_t4,anova,TukeyHSD,BWPD
D-Scour-Control,-5.2925426485236,-20.3387875059676,9.7537022089204,0.90509520448468,t4_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,-4.93740009893216,-19.9836449563762,10.1088447585118,0.927691488422432,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin-Control,5.98551805782629,-9.06072679961772,21.0317629152703,0.850205244023515,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,1.57426577383808,-13.8101391680233,16.9586707156994,0.999656060296006,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,-4.74364013331967,-19.7898849907637,10.3026047241243,0.938436394681072,t4_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,0.35514254959144,-14.6911023078526,15.4013874070354,0.999999763690371,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,11.2780607063499,-3.76818415109412,26.3243055637939,0.251462458659867,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,6.86680842236169,-8.51759651949965,22.251213364223,0.778125968064217,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,0.548902515203936,-14.4973423422401,15.5951473726479,0.999997924074473,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,10.9229181567585,-4.12332670068556,25.9691630142025,0.284338078459043,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,6.51166587277025,-8.87273906909109,21.8960708146316,0.814067002687263,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,0.193759965612497,-14.8524848918315,15.2400048230565,0.999999988553722,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-4.4112522839882,-19.7956572258495,10.9731526578731,0.958402631946279,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-10.729158191146,-25.77540304859,4.31708666629805,0.303339548321555,t4_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,-6.31790590715775,-21.7023108490191,9.06649903470359,0.832431782527541,t4_t6,anova,TukeyHSD,unrooted_PD
D-Scour-Control,2.08836200551673,-14.8513303797585,19.028054390792,0.999150374254315,t4_t6,anova,TukeyHSD,BWPD
ColiGuard-Control,3.36456134936286,-13.5751310359124,20.3042537346381,0.991837996678452,t4_t6,anova,TukeyHSD,BWPD
Neomycin-Control,-1.24860802297159,-18.1883004082468,15.6910843623036,0.999931768650092,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,0.133335315717937,-16.8063570695573,17.0730277009932,0.999999999026002,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-2.47442244595922,-19.4141148312344,14.465269939316,0.998076718835082,t4_t6,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,1.27619934384612,-15.6634930414291,18.2158917291213,0.999923983907023,t4_t6,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-3.33697002848832,-20.2766624137635,13.6027223567869,0.99214199938052,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-1.9550266897988,-18.894719075074,14.9846656954764,0.999383241529557,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,-4.56278445147596,-21.5024768367512,12.3769079337993,0.968190419221852,t4_t6,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-4.61316937233445,-21.5528617576097,12.3265230129408,0.966656604487836,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-3.23122603364492,-20.1709184189201,13.7084663516303,0.993229238331592,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-5.83898379532208,-22.7786761805973,11.1007085899531,0.912432227657049,t4_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,1.38194333868953,-15.5577490465857,18.3216357239647,0.999887387976493,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,-1.22581442298763,-18.1655068082628,15.7138779622876,0.999937710536218,t4_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-2.60775776167716,-19.5474501469524,14.3319346235981,0.99752927391533,t4_t6,anova,TukeyHSD,BWPD
D-Scour-Control,6.32427753147815,-9.20681326866472,21.855368331621,0.837324528963621,t6_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,7.44716174594629,-8.08392905419659,22.9782525460892,0.722075897913939,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-Control,-3.01905671519332,-18.5501475153362,12.5120340849496,0.992589843763163,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,3.61240441853913,-12.2677432410281,19.4925520781064,0.984828525445876,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,4.40099845914632,-11.1300923409966,19.9320892592892,0.960423806855336,t6_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,1.12288421446813,-14.4082065856747,16.653975014611,0.999937793599907,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,-9.34333424667148,-24.8744250468144,6.1877565534714,0.494126185997274,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-2.71187311293902,-18.5920207725063,13.1682745466282,0.995950896039165,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-1.92327907233184,-17.4543698724747,13.607811727811,0.999129209451138,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,-10.4662184611396,-25.9973092612825,5.06487233900326,0.365512510710839,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-3.83475732740715,-19.7149049869744,12.0453903321601,0.98019996698479,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-3.04616328679997,-18.5772540869428,12.4849275133429,0.992277527986701,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,6.63146113373246,-9.24868652583479,22.5116087932997,0.822448459196906,t6_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,7.42005517433964,-8.11103562580323,22.9511459744825,0.725138183476351,t6_t8,anova,TukeyHSD,unrooted_PD
