comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
Neomycin+ColiGuard-Neomycin+D-Scour,0.788594040607183,-15.0915536189601,16.6687417001744,0.999990354345665,t6_t8,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-4.27902868211568,-15.6904369984656,7.1323796342342,0.879404440008918,t6_t8,anova,TukeyHSD,BWPD
ColiGuard-Control,-2.24204905335506,-13.6534573697049,9.16935926299482,0.992236667853918,t6_t8,anova,TukeyHSD,BWPD
Neomycin-Control,-2.97886747814066,-14.3902757944905,8.43254083820922,0.972215119618678,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-5.44725978363164,-16.8586680999815,5.96414853271824,0.726226626360981,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,0.71149158919806,-10.6999167271518,12.1228999055479,0.999970216442627,t6_t8,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,2.03697962876062,-9.37442868758926,13.4483879451105,0.995029488704344,t6_t8,anova,TukeyHSD,BWPD
Neomycin-D-Scour,1.30016120397502,-10.1112471123749,12.7115695203249,0.999420680867103,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-1.16823110151596,-12.5796394178658,10.2431772148339,0.999656351236746,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,4.99052027131374,-6.42088804503614,16.4019285876636,0.792837688176132,t6_t8,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-0.736818424785597,-12.1482267411355,10.6745898915643,0.999964575616553,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-3.20521073027658,-14.6166190466265,8.2061975860733,0.961964746519623,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,2.95354064255312,-8.45786767379676,14.364948958903,0.97322618211555,t6_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,-2.46839230549098,-13.8798006218409,8.9430160108589,0.987943910621269,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,3.69035906733872,-7.72104924901116,15.1017673836886,0.931937882798534,t6_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,6.1587513728297,-5.25265694352018,17.5701596891796,0.611774129168091,t6_t8,anova,TukeyHSD,BWPD
D-Scour-Control,1.20918914217971,-21.1656032680521,23.5839815524115,0.999985215528071,t2_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,4.04173259531189,-18.3330598149199,26.4165250055437,0.994699756882139,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin-Control,10.9757014856907,-11.3990909245411,33.3504938959225,0.701633458171407,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,0.92907277943306,-21.9269530168643,23.7850985757304,0.999996417198039,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,3.67699849389878,-19.1790273023986,26.5330242901961,0.996927154542152,t2_t6,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,2.83254345313218,-19.050435219821,24.7155221260854,0.998914561226223,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,9.76651234351097,-12.1164663294422,31.6494910164642,0.777470680277197,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-0.28011636274665,-22.6549087729785,22.0946760474852,0.999999989994539,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,2.46780935171907,-19.9069830585127,24.8426017619509,0.999500859523258,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,6.93396889037879,-14.9490097825744,28.816947563332,0.936872675519449,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-3.11265981587883,-25.4874522261106,19.262132594353,0.998464115675234,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-0.364734101413106,-22.7395265116449,22.0100583088187,0.99999996257329,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-10.0466287062576,-32.4214211164894,12.3281637039742,0.773066365333619,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-7.2987029917919,-29.6734954020237,15.0760894184399,0.929064568708294,t2_t6,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,2.74792571446572,-20.1081000818316,25.6039515107631,0.999240749281643,t2_t6,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-0.917910184075389,-14.8267727538003,12.9909523856495,0.999960277667479,t2_t6,anova,TukeyHSD,BWPD
ColiGuard-Control,3.64740466357551,-10.2614579061494,17.5562672333004,0.971517876979779,t2_t6,anova,TukeyHSD,BWPD
Neomycin-Control,-5.99230653388679,-19.9011691036117,7.91655603583812,0.802272608875909,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-0.167041032941728,-14.0759036026666,13.7418215367832,0.999999991898114,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-0.418284359459728,-14.6262964769448,13.7897277580254,0.999999285505567,t2_t6,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,4.5653148476509,-9.03782110095985,18.1684507962617,0.920785501608262,t2_t6,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-5.0743963498114,-18.6775322984221,8.52873959879935,0.881247344202653,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,0.75086915113366,-12.8522667974771,14.3540050997444,0.999983630074679,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,0.499625824615661,-13.4092367451092,14.4084883943406,0.999998071927406,t2_t6,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-9.6397111974623,-23.2428471460731,3.96342475114845,0.309745988870095,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-3.81444569651724,-17.417581645128,9.78869025209351,0.962048982132983,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-4.06568902303524,-17.9745515927602,9.84317354668967,0.954797436828408,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,5.82526550094506,-7.77787044766569,19.4284014495558,0.806247968801575,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,5.57402217442706,-8.33484039529785,19.482884744152,0.845941033050714,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,-0.251243326518,-14.1601058962429,13.6576192432069,0.999999937693322,t2_t6,anova,TukeyHSD,BWPD
D-Scour-Control,1.87352663308764,-14.2466619438744,17.9937152100497,0.999361865367561,t4_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,2.9950014220074,-13.1251871549547,19.1151899989695,0.994008733064427,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin-Control,2.65894196054299,-13.4612466164191,18.7791305375051,0.996572125559808,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,5.8370693993481,-10.283119177614,21.9572579763102,0.894209579979131,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,0.158259520236184,-15.9619290567259,16.2784480971983,0.99999999706042,t4_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,1.12147478891976,-14.9987137880423,17.2416633658818,0.999948737638869,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,0.78541532745535,-15.3347732495067,16.9056039044174,0.999991253265617,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,3.96354276626045,-12.1566458107016,20.0837313432225,0.978613527241292,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-1.71526711285146,-17.8354556898135,14.4049214641106,0.999584940720984,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,-0.33605946146441,-16.4562480384265,15.7841291154977,0.999999873304555,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,2.84206797734069,-13.2781205996214,18.9622565543028,0.99530985433999,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-2.83674190177122,-18.9569304787333,13.2834466751909,0.995350920632878,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,3.1781274388051,-12.942061138157,19.2983160157672,0.992112366562684,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-2.50068244030681,-18.6208710172689,13.6195061366553,0.997437548509137,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,-5.67880987911191,-21.798998456074,10.4413786978502,0.904741548296299,t4_t8,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-2.65243205429965,-14.4785076768546,9.17364356825533,0.985799861006846,t4_t8,anova,TukeyHSD,BWPD
ColiGuard-Control,1.15622507424067,-10.6698505483143,12.9823006967957,0.999725703663008,t4_t8,anova,TukeyHSD,BWPD
Neomycin-Control,-4.44502921669953,-16.2711048392545,7.38104640585546,0.878342146314564,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-3.90949934104186,-15.7355749635969,7.91657628151312,0.925695298887438,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-1.72765425417656,-13.5537298767315,10.0984213683784,0.998075704705576,t4_t8,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,3.80865712854032,-8.01741849401467,15.6347327510953,0.933059726877561,t4_t8,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-1.79259716239988,-13.6186727849549,10.0334784601551,0.997704851538656,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-1.25706728674221,-13.0831429092972,10.5690083358128,0.999587007189503,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,0.924777800123091,-10.9012978224319,12.7508534226781,0.999908620884606,t4_t8,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-5.6012542909402,-17.4273299134952,6.22482133161479,0.732699841287692,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-5.06572441528253,-16.8918000378375,6.76035120727245,0.806709704700896,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-2.88387932841723,-14.7099549509722,8.94219629413776,0.979376694585731,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,0.535529875657668,-11.2905457468973,12.3616054982127,0.999993923738831,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,2.71737496252297,-9.10870066003202,14.543450585078,0.984170364804766,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,2.1818450868653,-9.64423053568968,14.0079207094203,0.994201103146722,t4_t8,anova,TukeyHSD,BWPD
D-Scour-Control,2.36304027288657,-14.5384763747871,19.2645569205603,0.998440933597706,t0_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,2.20673593564961,-14.6947807120241,19.1082525833233,0.998878576011876,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin-Control,3.62686652093799,-13.2746501267357,20.5283831686117,0.988373249067736,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,2.49568369597606,-14.4058329516977,19.3972003436498,0.997974671095715,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,-0.241619661372117,-17.1431363090458,16.6598969863016,0.999999980765606,t0_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,-0.156304337236962,-17.0578209849107,16.7452123104368,0.999999997819593,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,1.26382624805141,-15.6376903996223,18.1653428957251,0.999926745084269,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,0.13264342308949,-16.7688732245842,17.0341600707632,0.999999999040245,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-2.60465993425869,-19.5061765819324,14.296856713415,0.997516686130034,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,1.42013058528838,-15.4813860623853,18.3216472329621,0.99986975102267,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,0.288947760326452,-16.6125688873473,17.1904644080002,0.999999952976237,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,-2.44835559702173,-19.3498722446954,14.453161050652,0.998151920991893,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-1.13118282496192,-18.0326994726356,15.7703338227118,0.999957680504188,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-3.8684861823101,-20.7700028299838,13.0330304653636,0.984444563447276,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,-2.73730335734818,-19.6388200050219,14.1642132903255,0.996856195690255,t0_t8,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-2.30911246610478,-13.9492987417215,9.33107380951191,0.991884426015204,t0_t8,anova,TukeyHSD,BWPD
ColiGuard-Control,-2.47540789765485,-14.1155941732715,9.16477837796185,0.988840670398351,t0_t8,anova,TukeyHSD,BWPD
Neomycin-Control,-8.6476830513352,-20.2878693269519,2.99250322428149,0.260713541752269,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-5.29456985484628,-16.934756130463,6.34561642077041,0.764562590533172,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-2.50472815954611,-14.1449144351628,9.13545811607058,0.988227059804753,t0_t8,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,-0.166295431550068,-11.8064817071668,11.4738908440666,0.999999980828854,t0_t8,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-6.33857058523042,-17.9787568608471,5.30161569038627,0.602597965316565,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-2.9854573887415,-14.6256436643582,8.65472888687519,0.974265991113156,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,-0.195615693441329,-11.835801969058,11.4445705821754,0.999999956839153,t0_t8,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-6.17227515368035,-17.812461429297,5.46791112193634,0.629612363259535,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-2.81916195719144,-14.4593482328081,8.82102431842526,0.979992059255907,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-0.0293202618912614,-11.669506537508,11.6108660137254,0.999999999996769,t0_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,3.35311319648892,-8.28707307912777,14.9932994721056,0.957686587358739,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,6.14295489178909,-5.4972313838276,17.7831411674058,0.634350649518544,t0_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,2.78984169530017,-8.85034458031652,14.4300279709169,0.980897518914128,t0_t8,anova,TukeyHSD,BWPD
